year,univ_cd,hakgwa_gb,gwamok_seq,gwamok_nm,pilsu_gb,gaeseol_grade,gaeseol_hakgi_gb,edu_time_gangeui,edu_time_silseup,edu_time_tot,hakjeom,tonghap_gwamok_yn,edu_cont1_gb,edu_cont2_gb,edu_cont3_gb,edu_cont4_gb,exam_jipil_yn,exam_quiz_yn,exam_gudu_yn,exam_gwaje_yn,exam_gita_yn,edu_time_pbl
2019-08-09 09:28:15.227000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.233000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.239000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.243000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.248000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.253000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.257000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.262000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.268000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.272000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.277000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.281000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-08-09 09:28:15.286000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.184000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.185000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.187000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.188000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.190000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.191000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.193000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.194000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.197000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.198000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.199000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.201000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.202000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-09-24 11:05:58.203000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,,,,,,,,,,,,,,
2019-08-09 16:12:57.158000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,,,,,,
2019-08-09 16:12:57.163000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,,,,,,
2019-08-09 16:12:57.165000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,,,,,,
2019-08-09 16:12:57.166000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,,,,,,
2019-08-09 16:12:57.168000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,,,,,,
2019-08-09 16:12:57.170000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,,,,,,
2019-08-09 16:12:57.171000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:05:10.417000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:05:10.403000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:05:10.420000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:05:10.422000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:06:01.833000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:09:16.824000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:09:16.832000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:09:16.828000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:09:16.834000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:02:36.366000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:02:36.369000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:02:07.820000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 10:46:33.628000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:06:01.836000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:03:47.158000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-09-24 19:00:07.900000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:06:01.830000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:05:10.411000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:05:10.401000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:02:07.816000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:04:22.633000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-10-01 11:04:22.638000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,,,,,,
2019-09-30 15:30:36.418000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,,,,,,
2019-09-30 15:30:36.421000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,,,,,,
2019-09-30 15:30:36.424000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,,,,,,,,,,,,,,
