year,univ_cd,gyoyuk_jusu_gb,gaeseol_hakgi_gb,gyoyuk_jusu_euiye_1,gyoyuk_jusu_euiye_2,gyoyuk_jusu_euihak_1,gyoyuk_jusu_euihak_2,gyoyuk_jusu_euihak_3,gyoyuk_jusu_euihak_4
2019-08-21 18:20:39.163000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,
2019-08-21 18:20:39.163000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,
2019-08-29 16:32:10.334000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2019-08-29 16:32:10.337000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2019-08-29 16:32:10.339000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2019-08-29 16:32:10.342000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2019-09-03 17:20:39.428000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2019-09-03 17:20:39.431000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2019-09-03 17:20:39.433000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2019-09-03 17:20:39.435000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2021-09-02 11:25:08.958000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2019-09-05 14:17:53.253000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2019-09-05 14:17:53.255000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2020-09-15 16:00:07.396000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2019-09-05 15:06:31.290000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,
2019-09-18 11:39:41.272000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2019-09-18 11:39:41.269000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
