year,univ_cd,deungrok_gb,namyeo_gb,inwon_euiye_11,inwon_euiye_12,inwon_euiye_21,inwon_euiye_22,inwon_euihak_11,inwon_euihak_12,inwon_euihak_21,inwon_euihak_22,inwon_euihak_31,inwon_euihak_32,inwon_euihak_41,inwon_euihak_42,inwon_tot,inwon_woiguk
2019-08-27 17:15:18.261000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.264000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.267000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.270000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.273000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.283000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-08-27 17:15:18.283000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,,,,,,,,,,,,,
2019-09-26 14:24:19.554000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,,,,,,,
2019-09-26 14:24:19.557000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,,,,,,,
2019-09-26 14:25:09.990000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,,,,,,,,,
2019-08-19 13:27:59.641000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-20 10:26:19.418000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-20 10:26:19.418000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-20 10:27:14.591000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-20 10:27:38.610000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-19 13:25:58.533000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-20 10:28:18.885000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-20 10:28:18.885000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-19 13:25:58.545000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-19 13:25:58.545000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,,,,,,,,,
2019-08-29 18:19:20.335000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-29 18:19:20.330000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-29 18:19:20.333000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-29 18:33:53.854000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-29 18:33:53.857000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-09-03 15:59:53.538000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-03 15:59:53.543000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-03 15:59:53.545000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-03 15:59:53.541000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-03 15:49:09.793000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-03 15:49:09.793000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-17 10:18:18.975000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
2019-09-17 10:16:15.387000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
2019-09-18 11:05:32.842000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,,,,
2019-09-18 11:05:32.845000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,,,,
2019-09-23 14:29:10.273000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,,,,,,,,,
2019-11-14 16:27:25.848000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,,,,,,,
2019-11-14 16:27:25.853000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,,,,,,,
2019-10-31 15:39:22.911000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,,,,,,,
2019-10-31 15:39:22.927000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,,,,,,,
2019-10-31 15:39:22.927000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,,,,,,,
2019-10-31 15:39:22.943000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,,,,,,,
2019-10-31 15:39:22.943000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,,,,,,,,,,,,
2019,UNIV10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,
2019,UNIV10,3,2,22,22,17,17,14,15,12,12,11,12,13,16,,
2019,UNIV10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,
2019,UNIV10,2,1,3,3,0,0,4,0,3,1,0,0,6,0,,
2019,UNIV10,5,1,1,0,1,0,0,0,0,1,0,0,0,0,,
2019,UNIV10,2,2,0,0,0,0,3,1,0,0,0,0,3,0,,
2019,UNIV10,1,1,38,38,40,40,45,44,48,48,34,34,38,38,,
2019,UNIV10,1,2,22,22,17,17,17,16,12,12,11,12,16,16,,
2019,UNIV10,5,2,1,0,0,0,0,0,0,0,0,0,0,0,,
2019,UNIV10,3,1,35,35,40,40,41,44,45,47,34,34,32,38,,
2019-08-22 14:11:40.950000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,
2019-08-22 13:43:01.301000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,
2019-08-20 11:57:24.270000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.270000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.270000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.286000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.286000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.286000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.286000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.302000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.302000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-20 11:57:24.302000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,,,,,,,,,,
2019-08-22 14:16:27.336000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.336000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.352000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.352000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.352000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.352000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.367000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.367000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.367000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-22 14:16:27.367000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,,,,,,,,,,
2019-08-29 09:22:36.980000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,,,,,,,
