year,univ_cd,gyosil_seq,gyosil_gb,inwon_jeonim_tot_gyosu,inwon_jeonim_tot_bugyosu,inwon_jeonim_tot_jogyosu,inwon_jeonim_male_tot,inwon_jeonim_female_tot,inwon_jeonim_tot_tot,inwon_bongyo,inwon_bijeonim_tot,inwon_jeonim_female_jogyosu,inwon_jeonim_female_bugyosu,inwon_jeonim_male_jogyosu,inwon_bi_euihakgwa,inwon_jeonim_male_gyosu,inwon_jeonim_female_gyosu,inwon_jeonim_male_bugyosu,inwon_bijeonim_imsang,inwon_bijeonim_yeongu,inwon_bijeonim_gita
2021-09-13 11:20:46.184000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-16 10:19:40.777000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-16 10:19:48.888000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2021-09-16 10:20:42.706000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2019-08-08 09:44:12.818000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,,,,,,,,,,,,,
2019-08-08 09:44:23.976000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,,,,,,,,,,,,,,
2019-09-25 09:26:51.306000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,,,,,,,,,,,,,,,,
2020-09-08 12:34:58.526000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:34:58.510000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:24:30.419000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:34:58.526000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,37,37,3,1,0,4,0,4,4,0,0,0,0,0,3,0,1,0,0,0
2020-09-08 12:41:13.177000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:30:31.613000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,11,11,1,0,1,2,0,2,2,0,0,0,1,2,1,0,0,0,0,0
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:34:58.526000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.666000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.681000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,17,17,39,8,13,42,18,60,47,0,5,4,8,22,30,9,4,0,0,0
2019,UNIV05,8,8,2,1,0,2,1,3,2,0,0,1,0,2,2,0,0,0,0,0
2019,UNIV05,35,35,3,0,2,2,3,5,3,0,2,0,0,0,2,1,0,0,0,0
2019,UNIV05,43,43,88,61,74,178,45,223,186,0,27,11,47,1,81,7,50,0,0,0
