year,univ_cd,janghak_gb,suhye_inwon_tot_euihak,suhye_amt_tot_euihak,suhye_inwon_tot_euiye,suhye_amt_tot_euiye,euiye_bigo,euihak_bigo
2020-09-29 11:54:47.213000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
2020-09-29 11:54:47.213000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,
2020-09-10 13:52:21.985000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2020-09-10 13:52:22.001000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2020-09-10 13:52:22.001000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2020-09-18 17:33:28.426000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,
2020-09-18 17:33:28.426000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,
2020-09-22 09:37:11.540000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2020-09-22 09:46:53.651000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2020-10-22 10:25:07.971000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2020-10-22 10:25:07.974000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2020-10-22 10:25:07.975000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2020-11-09 14:45:37.727000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2020-11-09 14:45:37.730000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2020-11-09 14:46:04.373000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2021-08-11 15:31:11.102000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:31:11.099000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:31:11.104000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:25:23.611000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:26:17.917000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:25:23.615000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:28:10.457000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:28:10.459000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:28:10.461000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:28:52.317000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:28:52.315000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:28:52.319000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2020-11-16 14:44:59.679000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2020-11-16 14:44:59.683000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2020-11-16 14:44:59.685000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,
2020,UNIV19,1,311,271279,198,139537,,
2020,UNIV19,2,319,637346,134,240091,,
2020,UNIV19,3,79,201037,41,58658,,
2021-10-21 11:42:24.816000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2021-10-21 11:41:04.808000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2021-10-21 11:41:04.808000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,
2021-09-24 19:05:36.946000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2021-09-24 19:05:36.961000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2021-09-24 19:05:36.961000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,,
2021-09-14 15:56:58.920000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 15:56:58.936000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 15:56:58.936000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 16:05:19.563000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 16:05:19.563000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 16:05:19.563000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 16:06:40.378000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 16:06:40.394000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-14 16:06:40.394000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,
2021-09-24 10:24:16.437000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2021-09-24 10:24:16.437000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2021-09-24 10:24:16.437000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2021-10-21 11:35:56.530000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,입학금감축대응지원장학금 포함,,,
2021-10-21 11:35:56.530000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,코로나특별장학금 포함,코로나특별장학금 포함,,
2021-10-21 11:35:56.530000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2021-10-21 09:21:08.485000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2021-10-21 10:53:50.782000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2021-10-21 11:34:56.403000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,
2021-10-29 09:52:53.410000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2021-10-29 09:52:53.412000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2021-10-29 09:52:53.413000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,
2021-04-23 11:46:44.476000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,입학금감축대응지원장학금 포함,,,
외부지급) 제외,,,,,,,,
2021-04-26 08:50:22.329000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,,,
2021-04-30 11:53:47.320000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-04-30 11:53:47.323000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-04-30 11:53:47.325000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-08-11 15:27:40.012000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:27:40.015000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:27:40.017000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2019,UNIV03,2,169,793177,,,,
2019,UNIV03,3,36,74611,,,,
2021-04-23 11:31:57.506000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2021-04-23 11:31:57.509000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2021-04-23 11:31:57.508000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,
2021-06-21 16:29:16.825000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,
2021-09-01 14:46:22.115000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,
2021-09-01 14:46:22.099000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,
2021-09-01 14:46:22.115000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,,
2021-10-28 10:26:32.364000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,중복수혜 포함,중복수혜 포함,,
2021-08-11 15:24:09.958000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:24:09.960000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-08-11 15:24:09.962000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,
2021-04-28 14:17:56.723000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-04-28 14:17:56.727000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-04-28 14:17:56.728000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-05-04 10:39:01.445000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2021-05-04 10:39:01.447000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2021-05-04 10:39:01.449000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,,
2021-06-21 16:41:14.325000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,
2021-06-21 16:41:14.328000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,
2021-06-21 16:44:51.604000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,
2021-06-21 17:05:47.874000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,
2021-06-21 17:05:24.159000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,,
2021-10-28 10:28:01.504000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,중복수혜 포함,중복수혜 포함,,
2021-10-28 10:08:46.282000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,중복수혜 포함,중복수혜 포함,,
2021-10-30 09:47:18.426000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-10-30 09:47:18.428000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-10-30 09:47:18.431000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,,,,
2021-10-27 16:37:21.797000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,
2021-10-27 16:37:21.792000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,
2021-10-27 16:37:21.795000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,
2021-10-25 17:10:02.978000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,
2021-10-25 17:10:02.981000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,
2021-10-25 17:10:02.983000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,
2021-09-02 14:29:32.098000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2021-09-02 14:29:32.098000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2021-09-02 14:29:32.114000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,
2021-09-02 11:21:04.480000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2021-09-02 11:21:04.480000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2021-09-02 11:21:04.480000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,,
2021-09-09 15:00:14.117000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2021-09-09 15:01:05.212000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2021-09-09 15:00:14.117000,YYYY-MM-DD HH24:MI:SS.FF,univ10,,,,,,
2021-09-23 18:08:24.741000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2021-09-23 17:58:35.395000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2021-09-23 18:41:16.901000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,,
2021-11-04 17:13:13.296000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,
2021-11-04 17:13:13.298000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,
2021-11-04 16:51:43.263000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,,,
2021-08-26 16:43:47.308000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-08-26 16:42:08.018000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,
2021-08-27 14:00:47.694000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,3,6,,
2021-08-27 14:00:47.696000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,9,12,,
