year,univ_cd,jidogyosu_gb,jidogyosu_seq,jidogyosu_yn,jido_haksengsu,jidogyosu_gita_txt,bigo
2019,UNIV08,1,1,1,2,,
2019,UNIV08,9,1,1,2,PLC 지도교수,
2020,UNIV08,1,1,1,2,,
2020,UNIV08,9,1,1,2,PLC 지도교수,
2020,UNIV39,1,1,1,3,,
2021-09-23 09:34:57.908000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,
2020,UNIV03,1,1,1,2,,
2020,UNIV03,9,1,1,10,동아리 지도교수,기타
2021-10-07 14:25:20.250000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,
2021-08-26 10:56:17.623000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,
2021-08-26 10:56:17.627000,YYYY-MM-DD HH24:MI:SS.FF,univ11,,,,,
2021-09-24 13:25:59.567000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,
2021-09-27 23:21:21.260000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,
2021-09-29 17:33:36.383000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2021-08-27 13:33:48.282000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,
2021-08-27 13:34:13.881000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,
2020,UNIV40,1,1,0,20,,현재 운영중
2020,UNIV40,9,1,1,30,멘토링 교수,운영 예정
2021-09-16 10:58:59.559000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,,,
2020,UNIV09,9,4,1,16,동아리지도교수,
2021-09-02 11:31:29.527000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2020,UNIV09,9,3,1,78,학년담임교수,
2020,UNIV09,9,1,1,7,학생소단위,
2021-09-02 11:31:29.527000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,,,
2021-09-02 17:50:48.383000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,
2021-09-13 15:40:29.335000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,
2020,UNIV24,1,1,1,5,,
2021-09-14 11:46:39.462000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2021-09-29 17:42:46.366000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,
2021-09-24 13:26:22.792000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,
2021-09-24 19:07:36.952000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,,,
2021-09-29 19:23:47.499000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2021-09-29 19:25:10.142000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2021-09-29 19:25:10.143000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,
2020,UNIV35,1,1,1,5,,
2021-10-19 17:28:10.755000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,,,
