year,univ_cd,hwaldong_cnt,ins_ip
2019-07-26 15:34:38.885000,YYYY-MM-DD HH24:MI:SS.FF,univ14,
2019-07-29 16:36:53.402000,YYYY-MM-DD HH24:MI:SS.FF,univ23,
2019-07-29 16:36:53.402000,YYYY-MM-DD HH24:MI:SS.FF,univ23,
2019-08-05 10:02:40.788000,YYYY-MM-DD HH24:MI:SS.FF,univ18,
2019-08-05 10:02:40.793000,YYYY-MM-DD HH24:MI:SS.FF,univ18,
2021-09-03 17:17:59.541000,YYYY-MM-DD HH24:MI:SS.FF,univ24,
2019-07-16 11:49:07.967000,YYYY-MM-DD HH24:MI:SS.FF,univ24,
2019-07-18 14:32:09.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,
2019-07-18 14:32:09.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,
2020-12-04 09:57:55.252000,YYYY-MM-DD HH24:MI:SS.FF,univ33,
2019-07-16 10:40:33.040000,YYYY-MM-DD HH24:MI:SS.FF,univ33,
2020-12-03 15:30:15.134000,YYYY-MM-DD HH24:MI:SS.FF,univ29,
2020-09-21 13:58:55.074000,YYYY-MM-DD HH24:MI:SS.FF,univ15,
2020-10-27 14:59:52.724000,YYYY-MM-DD HH24:MI:SS.FF,univ26,
2020-10-27 14:59:52.727000,YYYY-MM-DD HH24:MI:SS.FF,,univ26
2020-08-12 09:06:56.695000,YYYY-MM-DD HH24:MI:SS.FF,univ39,
2020-09-04 10:59:04.979000,YYYY-MM-DD HH24:MI:SS.FF,univ02,
