year,univ_cd,buseo_seq,buseo_nm,inwon_gyosu_jeonim,inwon_hengjeong,inwon_tot,inwon_gyosu_gyeomim,inwon_gita,inwon_gyosu_yeongu
2019-08-20 11:19:04.238000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,,,,,
2019-08-26 11:27:29.858000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,
2019-09-04 16:58:43.764000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2019-09-04 16:58:43.797000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,,
2019-09-10 16:04:33.796000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2019-09-10 16:04:33.796000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,,,,,
2019-09-10 16:42:14.816000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,
2019-09-10 16:42:14.818000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,,,,
2019-09-30 09:18:37.732000,YYYY-MM-DD HH24:MI:SS.FF,univ34,,,,,,,
2019-11-05 16:45:04.270000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,,,,,
2020-02-06 13:41:27.338000,YYYY-MM-DD HH24:MI:SS.FF,univ26,,,,,,,
2019,UNIV10,3,의학교육학교실,2,1,5,2,,
2019,UNIV10,2,의학시물레이션센터,,1,2,1,,
2019,UNIV10,1,의학교육지원센터,,2,4,2,,
2019-08-12 13:55:26.408000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,,,,
2019-08-12 15:32:09.825000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2019-08-12 15:32:09.828000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,,,,
2019-08-21 18:15:21.723000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,
2019-08-21 18:15:53.743000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,
2019-08-30 18:24:15.390000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,,
2019-09-03 17:22:10.358000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,
2021-09-17 11:36:18.623000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,
2019-07-24 17:56:22.366000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,,,,,
2019-08-29 02:32:48.480000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,
2019-08-29 02:32:48.486000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,
2019-08-29 02:32:48.483000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,
2019-08-26 11:28:19.582000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,
2020-02-03 10:53:02.270000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
2019-08-30 08:05:00.064000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,
2019-09-18 09:11:39.170000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,,,,,
2019-09-24 19:07:40.895000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,
2020-02-03 10:53:02.267000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,,,,,
