year,univ_cd,jangbi_gb,jangbi_seq,jangbi_yn,jangbi_cnt
2019-09-23 16:48:17.750000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:48:17.752000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:48:17.753000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:48:17.755000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:48:17.757000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-26 17:35:59.965000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:48:17.761000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-23 16:50:37.086000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-26 17:35:59.967000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2019-09-27 09:20:09.111000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-08-27 16:59:12.702000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.706000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.708000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.710000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.712000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.714000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.716000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.718000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.720000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.722000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.724000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.726000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.729000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-27 16:59:12.731000,YYYY-MM-DD HH24:MI:SS.FF,univ27,,,
2019-08-29 11:05:22.668000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.670000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.673000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.675000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.677000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.679000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.682000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.684000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.686000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.688000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.690000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.692000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.694000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 11:05:22.696000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019-08-29 14:56:14.849000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:45:39.563000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 14:45:39.565000,YYYY-MM-DD HH24:MI:SS.FF,univ29,,,
2019-08-29 15:06:11.096000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.098000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.101000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.103000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.105000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.107000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.109000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.111000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.113000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.117000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.119000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.121000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-08-29 15:06:11.123000,YYYY-MM-DD HH24:MI:SS.FF,univ14,,,
2019-09-02 09:59:28.252000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.255000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.257000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.259000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.261000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.263000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.266000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.269000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.271000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.273000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.275000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.277000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.279000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-02 09:59:28.281000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2019-09-16 14:21:09.362000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.387000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.389000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.391000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.394000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.396000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.398000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.400000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.402000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.404000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-16 14:21:09.406000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,
2019-09-24 13:22:10.151000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-09-24 13:22:10.154000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-09-24 13:22:10.156000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-09-24 13:22:10.158000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-09-24 13:22:10.161000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-09-24 13:22:10.163000,YYYY-MM-DD HH24:MI:SS.FF,univ04,,,
2019-10-18 10:56:04.463000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.471000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.473000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.475000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.477000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.479000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.481000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.484000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.486000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
2019-10-18 10:56:04.489000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,
