year,univ_cd,upmu_gb,inwon_gita,inwon_tot,inwon_jeonggyu,inwon_bijeonggyu
2019-08-14 14:04:07.040000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.042000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.044000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.046000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:04:07.048000,YYYY-MM-DD HH24:MI:SS.FF,univ24,,,,
2019-08-14 14:12:07.167000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:18.209000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:07.177000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:07.179000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:50.320000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:07.184000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:34.569000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-08-14 14:12:42.453000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,,
2019-09-25 10:52:14.056000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.058000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.060000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.062000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.065000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:55:48.135000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.073000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-09-25 10:52:14.053000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019-08-26 17:00:13.046000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2019-08-26 17:00:13.048000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin,,,,
2019-08-27 13:19:37.551000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.553000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-29 10:18:08.174000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.558000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-29 10:18:08.177000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.562000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.564000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-27 13:19:37.566000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-08-29 10:18:08.179000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,
2019-09-05 15:17:01.257000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,
2019-09-16 17:20:52.381000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,
2019-09-16 19:43:18.006000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,
2019-09-16 17:20:52.401000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,
2019-09-16 17:20:52.404000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,
2019-09-16 17:20:52.406000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,
2019-09-18 17:11:08.190000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,
2019-09-18 17:11:08.195000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,
2019-09-18 17:11:08.197000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,
2019-09-18 17:11:08.199000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,
2019-09-18 17:11:08.202000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,
2019-09-18 17:11:08.204000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,
2019-09-18 17:11:08.206000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,,
2019-09-24 13:16:43.258000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:16:43.262000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:16:43.265000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:16:43.267000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:16:43.269000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:17:26.335000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:16:43.274000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:16:43.276000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-24 13:16:43.278000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,,
2019-09-25 10:52:14.067000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,
2019,UNIV10,2,,1,,1
2019,UNIV10,1,,1,1,
2019,UNIV10,5,16,16,,
2019,UNIV10,3,,2,2,
2019,UNIV10,4,1,4,3,
2019-10-31 11:19:58.308000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.324000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.324000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.324000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.339000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.339000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.339000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.339000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.339000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.355000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2019-10-31 11:19:58.386000,YYYY-MM-DD HH24:MI:SS.FF,univ15,,,,
2020-01-10 14:26:30.691000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,,
