year,prg_id,gakju
2021-08-13 17:44:36.131000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-09-01 16:45:16.709000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-07-11 15:00:49.525000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-08-17 15:16:30.899000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-07-12 21:56:34.895000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-12 21:59:05.434000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-11 22:16:55.757000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-08-30 14:45:38.646000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-17 14:42:26.224000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-09-23 12:58:29.755000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-10-22 11:08:22.739000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-07-12 17:28:47.932000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-08-17 15:16:39.201000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-09-02 11:25:10.458000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-19 20:51:50.307000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-09-07 18:33:35.031000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-09-17 17:49:42.703000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-09-23 18:10:32.862000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-13 16:48:20.912000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-09-07 17:08:40.969000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-05 22:48:08.207000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-11 11:54:13.600000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-07-11 22:16:28.626000,YYYY-MM-DD HH24:MI:SS.FF,sysadmin
2021-09-01 18:00:29.552000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-25 14:41:50.860000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-25 14:42:29.219000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-25 14:42:36.993000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-25 14:43:00.556000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-25 14:43:08.144000,YYYY-MM-DD HH24:MI:SS.FF,univ00
2021-08-25 14:43:15.181000,YYYY-MM-DD HH24:MI:SS.FF,univ00
